Condition,Item,ItemNum,List,Order,RT,Response,Likely_intended_production,Likely_Intended_Production_Split,Words_in_Intended_Production,Form_of_Intended_Production,Subject_is_Well_Formed,Verb_is_Well_Formed,Post-Verb_is_Well_Formed,Target,target_subj_noun,target_verb,target_obj_noun,target_other,Run,SubjID,TrialNumber,TrialOnset
SPROD,4580613274.jpg,34,1,12,0,",am qwalkimnf",man walking,man /walking/,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,NA,A man is sweeping the steps.,man,sweeping,steps,,1,FED_20200130a_3T2,18,86
SPROD,7579008108.jpg,53,1,12,0,kumpomh,jumping,jumping,1,Gerund,NA,0,NA,A man is jumping (off a rock/cliff) into the water.,man,jumping,,cliff/water/ocean/water,1,FED_20200130a_3T2,19,93
SPROD,4696829163.jpg,54,1,12,0,cjaild,child,child,1,Noun,NA,NA,NA,A boy is holding up a fish (he caught).,boy,holding,fish,caught,1,FED_20200130a_3T2,20,100
SPROD,4705826062.jpg,49,1,12,0,eayimng ice,eating ice,/eating/ ice,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is eating an ice cream cone.,man,eating,ice cream cone,,1,FED_20200130a_3T2,21,107
SPROD,6882674785.jpg,20,1,12,0,uhsseirn mfirl,?? Girl,?? Girl,2+,Incomplete,Incomplete,Incomplete,Incomplete,A little girl is blowing bubbles.,girl,blowing,bubbles,,1,FED_20200130a_3T2,31,188
SPROD,3677329561.jpg,27,1,12,0,deomfih pettimh,washing pet,/washing/ pet,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,Two girls are washing a dog.,girls,washing,dog,outside,1,FED_20200130a_3T2,32,195
SPROD,4585839343.jpg,44,1,12,0,giorl dloewer,girl blow,girl /blow/,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,0,NA,A woman is blowing on a dandelion.,woman,blowing,dandelion/flower,field,1,FED_20200130a_3T2,33,202
SPROD,6845394024.jpg,7,1,12,0,nou nhridh,boy brush,boy /brush/,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,0,NA,A (young) boy is brushing his teeth.,boy,brushing,teeth,,1,FED_20200130a_3T2,34,209
SPROD,36979.jpg,66,2,6,0,cards,cards,cards,1,Noun,NA,NA,NA,A group of people are playing poker.,group,playing,poker,,6,FED_20191120d_3T2,6,44
SPROD,4786057236.jpg,78,2,6,0,playing piano thing,playing piano thing,/playing/ piano thing,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A man is playing the accordion.,man,playing,accordion,,6,FED_20191120d_3T2,7,51
SPROD,4715971264.jpg,88,2,6,0,juggling,juggling,juggling,1,Gerund,NA,0,NA,A (young) man is juggling (three balls).,man,juggling,balls,,6,FED_20191120d_3T2,8,58
SPROD,5194027799.jpg,79,2,6,0,holding a small dog,holding a small dog,/holding/ a small dog,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is holding a puppy.,woman,holding,puppy,,6,FED_20191120d_3T2,9,65
SPROD,12142386.jpg,91,2,6,0,juggling,juggling,juggling,1,Gerund,NA,0,NA,A man is juggling balls.,man,juggling,balls,,6,FED_20191120d_3T2,43,230
SPROD,4610962283.jpg,97,2,6,0,playing the harp,playing the harp,/playing/ the harp,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is playing the harp.,woman,playing,harp,,6,FED_20191120d_3T2,44,237
SPROD,4436749692.jpg,68,2,6,0,reading the newspaper,reading the newspaper,/reading /the newspaper,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is reading the newspaper.,man,reading,newspaper,,6,FED_20191120d_3T2,45,244
SPROD,3719712280.jpg,98,2,6,0,diving for a frisbee,diving for a frisbee,/diving /for a frisbee,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is diving to catch a frisbee.,woman,diving/catching,frisbee,,6,FED_20191120d_3T2,46,251
SPROD,5669914204.jpg,13,1,5,0,0,0,0,?,?,?,?,?,A (young) boy is looking through a telescope.,boy,looking,,telescope,2,FED_20200205b_3T2,10,58
SPROD,5840187633.jpg,35,1,5,0,0,0,0,?,?,?,?,?,A little girl is walking on a treadmill.,girl,walking,,treadmill,2,FED_20200205b_3T2,11,65
SPROD,7995263133.jpg,64,1,5,0,0,0,0,?,?,?,?,?,A young boy is sleeping (on a striped pillow).,boy,sleeping,,pillow,2,FED_20200205b_3T2,12,72
SPROD,6225280494.jpg,9,1,5,0,0,0,0,?,?,?,?,?,A man is jumping over a hurdle.,man,jumping,,hurdle,2,FED_20200205b_3T2,13,79
SPROD,6354735653.jpg,62,1,5,0,0,0,0,?,?,?,?,?,A man is rock climbing.,man,rock climbing,,cliff/rock,2,FED_20200205b_3T2,39,216
SPROD,4789495327.jpg,31,1,5,0,0,0,0,?,?,?,?,?,A woman is talking on a cell phone.,woman,talking,,cell phone,2,FED_20200205b_3T2,40,223
SPROD,3672940355.jpg,12,1,5,0,0,0,0,?,?,?,?,?,A young girl is kicking a ball.,girl,kicking,ball,outside/yard/grass,2,FED_20200205b_3T2,41,230
SPROD,4607606901.jpg,3,1,5,0,0,0,0,?,?,?,?,?,A (young) girl is petting a deer.,girl,petting,deer,,2,FED_20200205b_3T2,42,237
SPROD,6915574150.jpg,6,1,6,0,GIRL WITH TOOTHBRIS,girl with toothbrush,girl// with toothbrush,2+,Noun Phrase,0,NA,0,A toddler is holding a toothbrush.,toddler,holding,toothbrush,,6,FED_20191204c_3T2,6,44
SPROD,5220880759.jpg,16,1,6,0,MAND IN SHJWER,man in shower,man// in shower,2+,Noun Phrase,0,NA,0,A man is taking a shower.,man,taking,shower,,6,FED_20191204c_3T2,7,51
SPROD,35268263.jpg,60,1,6,0,WAMOA SWEIGMN,woman sewing,woman /sewing/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A woman is sewing (on her sewing machine).,woman,sewing/using,sewing machine,,6,FED_20191204c_3T2,8,58
SPROD,6303184938.jpg,58,1,6,0,"KAJ AT K,VIRSC0-RE",man at microscope,man //at microscope,2+,Noun Phrase,0,NA,0,A man is looking through a microscope.,man,looking,microscope,,6,FED_20191204c_3T2,9,65
SPROD,3819214047.jpg,59,1,6,0,NOT SLATIONG,boy sitting,boy /sitting/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A boy/man is sitting on his skateboard.,man,sitting,,skateboard,6,FED_20191204c_3T2,43,230
SPROD,5584269779.jpg,57,1,6,0,R99EJG A HF0RSE,riding a horse,/riding/ a horse,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is riding a horse.,woman,riding,horse,,6,FED_20191204c_3T2,44,237
SPROD,3665441862.jpg,43,1,6,0,"G9RP CA,0MG FEJMMCE",girl climbing fence,girl /climbing /fence,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A young girl is climbing a fence.,girl,climbing,fence,,6,FED_20191204c_3T2,45,244
SPROD,33256003.jpg,36,1,6,0,"WA,MNF DOPOMG ;O[STA",woman applying lipstick,woman /applying /lipstick,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A woman is applying lipstick.,woman,applying,lipstick,,6,FED_20191204c_3T2,46,251
SPROD,5283494184.jpg,107,2,3,0,mfi pg bljp,?? Is blow,?? Is/ blow/,Unknown,Unknown,Unknown,Unknown,Unknown,A woman is blowing leaves (with a leaf blower).,woman,blowing,leaves,leaf blower,4,FED_20191204a_3T2,18,102
SPROD,4753970630.jpg,122,2,3,0,";mik pg lim[,i",girl is jumping,girl /is jumping/,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,NA,A little girl is jumping into a pool.,girl,jumping,,pool,4,FED_20191204a_3T2,19,109
SPROD,4842516865.jpg,94,2,3,0,"b fi mpm ;yo,l",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A man is chopping wood.,man,chopping,wood,axe,4,FED_20191204a_3T2,20,116
SPROD,5925544950.jpg,125,2,3,0,romgi pg,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A woman is fishing.,woman,fishing,,lake/river/pond,4,FED_20191204a_3T2,21,123
SPROD,4858197102.jpg,103,2,3,0,2,2,2,?,?,?,?,?,A man is holding a (newborn) baby.,man,holding,baby,,4,FED_20191204a_3T2,31,172
SPROD,5505219003.jpg,128,2,3,0,d nfiu on hjklnu,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A man is writing on a chalkboard.,man,writing,equations,chalkboard,4,FED_20191204a_3T2,32,179
SPROD,4445547327.jpg,112,2,3,0,bdi pf euounim d,girl is playing,girl/ is playing/,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,NA,A (young) girl is playing the violin.,girl,playing,violin,,4,FED_20191204a_3T2,33,186
SPROD,2763354860.jpg,127,2,3,0,loyk og plduiomh,girl is climbing,girl/ is climbing/,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,NA,A (young) girl is rock climbing.,girl,rock climbing,,,4,FED_20191204a_3T2,34,193
SPROD,4858197102.jpg,103,2,8,0,i0pd9jg hsh7,holding baby,/holding/ baby,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A man is holding a (newborn) baby.,man,holding,baby,,2,FED_20200130c_3T2,2,14
SPROD,4597303045.jpg,73,2,8,0,dk9o9jg,smoking,smoking,1,Gerund,NA,0,NA,A man is smoking a pipe (on a rock).,man,smoking,pipe,rock/beach/water,2,FED_20200130c_3T2,3,21
SPROD,12142386.jpg,91,2,8,0,o8ddp9jg,juggling,juggling,1,Gerund,NA,0,NA,A man is juggling balls.,man,juggling,balls,,2,FED_20200130c_3T2,4,28
SPROD,23770160.jpg,113,2,8,0,ps89jg u89tat,playing guitar,/playing /guitar,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A man is playing guitar.,man,playing,guitar,grass/outside,2,FED_20200130c_3T2,5,35
SPROD,3808935147.jpg,106,2,8,0,u8kl- j tra0,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,Two boys are jumping on a trampoline.,boys,jumping,,trampoline,2,FED_20200130c_3T2,47,260
SPROD,2889481764.jpg,123,2,8,0,-t9jfg a -8tc8te,painting a castle,/painting /a castle,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is painting a castle.,man,painting,castle,,2,FED_20200130c_3T2,48,267
SPROD,4842516865.jpg,94,2,8,0,cua--9jf e00d,chopping wood,/chopping/ wood,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is chopping wood.,man,chopping,wood,axe,2,FED_20200130c_3T2,49,274
SPROD,4572715888.jpg,74,2,8,0,read9jf a h99i,reading a book,/reading/ a book,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is reading a book (while waiting for the train).,man,reading,book,subway/train,2,FED_20200130c_3T2,50,281
SPROD,36979.jpg,66,2,12,0,people are playing cards,people are playing cards,people /are playing/ cards,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A group of people are playing poker.,group,playing,poker,,6,FED_20191120b_3T2,18,86
SPROD,4786057236.jpg,78,2,12,0,man is playing somethiung lol,man is playing something lol,man/ is playing/ something lol,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,1,A man is playing the accordion.,man,playing,accordion,,6,FED_20191120b_3T2,19,93
SPROD,4715971264.jpg,88,2,12,0,boy is juddffline,boy is juggling,boy/ is juggling/,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,NA,A (young) man is juggling (three balls).,man,juggling,balls,,6,FED_20191120b_3T2,20,100
SPROD,5194027799.jpg,79,2,12,0,the woman is holding a puppy,the woman is holding a puppy,the woman/ is holding/ a puppy,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is holding a puppy.,woman,holding,puppy,,6,FED_20191120b_3T2,21,107
SPROD,12142386.jpg,91,2,12,0,the mand is jufflinf,the man is juggling,the man/ is juggling/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A man is juggling balls.,man,juggling,balls,,6,FED_20191120b_3T2,31,188
SPROD,4610962283.jpg,97,2,12,0,the owman is playing the harp,the owman is playing the harp,the owman /is playing/ the harp,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is playing the harp.,woman,playing,harp,,6,FED_20191120b_3T2,32,195
SPROD,4436749692.jpg,68,2,12,0,the man is reading the newspoaper,the man is reading the newspoaper,the man/is reading/ the newspoaper,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is reading the newspaper.,man,reading,newspaper,,6,FED_20191120b_3T2,33,202
SPROD,3719712280.jpg,98,2,12,0,the woman is cathcing the firsbee,the woman is catching the frisbee,the woman/ is catching/ the frisbee,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is diving to catch a frisbee.,woman,diving/catching,frisbee,,6,FED_20191120b_3T2,34,209
SPROD,7579008108.jpg,53,1,1,0,a man is unna,a man is jump,a man/ is jump/,2+,Subject and Tensed Non-Gerund Verb ,1,0,NA,A man is jumping (off a rock/cliff) into the water.,man,jumping,,cliff/water/ocean/water,1,FED_20200205a_3T2,2,14
SPROD,6303184938.jpg,58,1,1,0,man looking through microscope,man looking through microscope,man /looking /through microscope,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A man is looking through a microscope.,man,looking,microscope,,1,FED_20200205a_3T2,3,21
SPROD,4688958106.jpg,8,1,1,0,two surgeons operating in orsome,two surgeons operating in ??,two surgeons /operating /in ??,?,Incomplete,1,0,Incomplete,Two doctors/surgeons are operating/performing surgery.,doctors/surgeons,operating/performing,surgery,,1,FED_20200205a_3T2,4,28
SPROD,4263999253.jpg,56,1,1,0,kids shoveling snow,kids shoveling snow,kids /shoveling/ snow,2+,Subject and Gerund Well-Formed,1,0,1,Two kids are shoveling snow.,kids,shoveling,snow,,1,FED_20200205a_3T2,5,35
SPROD,4766583860.jpg,38,1,1,0,girl on swing smiling with pigrtals,girl on swing smiling with pigtails,girl on swing/ smiling/ with pigtails,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A girl is swinging (on a swing).,girl,swinging,,swing set,1,FED_20200205a_3T2,47,260
SPROD,6915574150.jpg,6,1,1,0,young toddler is holding toothbrushe,young toddler is holding toothbrush,young toddler /is holding/ toothbrush,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,0,A toddler is holding a toothbrush.,toddler,holding,toothbrush,,1,FED_20200205a_3T2,48,267
SPROD,6596861005.jpg,17,1,1,0,woman is smilingn whilel ooking atmap overlooking river,woman is smiling while looking at map overlooking river,woman/ is smiling/ while looking at map overlooking river,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,0,A woman is reading a map.,woman,reading,map,water,1,FED_20200205a_3T2,49,274
SPROD,4678843953.jpg,32,1,1,0,man is thrwoing axe veryusly,man is throwing axe ??,man /is throwing/ axe ??,2+,Incomplete,0,1,Incomplete,A man is throwing an axe.,man,throwing,axe,,1,FED_20200205a_3T2,50,281
SPROD,4400746838.jpg,71,2,7,0,2,2,2,?,?,?,?,?,A young girl is covering her eyes.,girl,covering,eyes,hand,1,FED_20200130c_3T2,22,116
SPROD,5565536413.jpg,126,2,7,0,1,1,1,?,?,?,?,?,A man is painting a mural.,man,painting,mural,door,1,FED_20200130c_3T2,23,123
SPROD,150582765.jpg,105,2,7,0,2,2,2,?,?,?,?,?,A woman is taking a picture (with a camera).,woman,taking,picture,camera,1,FED_20200130c_3T2,24,130
SPROD,2047030603.jpg,82,2,7,0,sprsgr8s0,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A man is pushing a cart full of grocery bags.,man,pushing,cart,bags,1,FED_20200130c_3T2,25,137
SPROD,3673032164.jpg,117,2,7,0,dea8t,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,Two girls are arm-wrestling.,girls,arm-wrestling,,,1,FED_20200130c_3T2,27,158
SPROD,36979.jpg,66,2,7,0,tureoofr,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A group of people are playing poker.,group,playing,poker,,1,FED_20200130c_3T2,28,165
SPROD,3549408779.jpg,109,2,7,0,Unintelligible,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A dog is swimming (in a pool).,dog,swimming,,pool/water,1,FED_20200130c_3T2,29,172
SPROD,5293561716.jpg,116,2,7,0,dshicy8cua8exi8rea8uieua8rdr7er,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A (young) boy is playing the piano.,boy,playing,piano,,1,FED_20200130c_3T2,30,179
SPROD,6596861005.jpg,17,1,10,0,",am readimfg",woman reading,woman /reading/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A woman is reading a map.,woman,reading,map,water,3,FED_20200130a_3T2,10,58
SPROD,3818278154.jpg,39,1,10,0,ec siercomh om nrs,?? On ??,?? On ??,Unknown,Unknown,Unknown,Unknown,Unknown,A group of people are doing yoga on a beach.,group,doing,yoga,beach,3,FED_20200130a_3T2,11,65
SPROD,35268263.jpg,60,1,10,0,jreadimg art hjome,reading at home,/reading/ at home,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is sewing (on her sewing machine).,woman,sewing/using,sewing machine,,3,FED_20200130a_3T2,12,72
SPROD,6237869128.jpg,63,1,10,0,firl rrmg,girl ??,girl ??,Unknown,Unknown,Unknown,Unknown,Unknown,A woman is putting on a boot.,woman,putting on,boot,floor,3,FED_20200130a_3T2,13,79
SPROD,5584269779.jpg,57,1,10,0,gordetigiomgf,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A woman is riding a horse.,woman,riding,horse,,3,FED_20200130a_3T2,39,216
SPROD,126594141.jpg,26,1,10,0,"or dportim,h",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A woman is tying her shoe (on a soccer field).,woman,tying,shoe,field,3,FED_20200130a_3T2,40,223
SPROD,6303184938.jpg,58,1,10,0,",am ;oolimh im",man looking in,man/ looking/ in,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A man is looking through a microscope.,man,looking,microscope,,3,FED_20200130a_3T2,41,230
SPROD,4766583860.jpg,38,1,10,0,sirl sewomhimg,girl swinging,girl /swinging/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A girl is swinging (on a swing).,girl,swinging,,swing set,3,FED_20200130a_3T2,42,237
SPROD,3673032164.jpg,117,2,7,0,"jro;s are ar,wrest;omg",girls are arm-wrestling,girls/ are arm-wrestling/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,Two girls are arm-wrestling.,girls,arm-wrestling,,,1,FED_20191120b_3T2,22,116
SPROD,4753970630.jpg,122,2,7,0,"gor; kio.[om,g om, [p;",girl jumping in pool,girl/ jumping/ in pool,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A little girl is jumping into a pool.,girl,jumping,,pool,1,FED_20191120b_3T2,23,123
SPROD,4968012871.jpg,72,2,7,0,"wp,am jp;domg cjoclem",woman holding chicken,woman /holding/ chicken,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A woman is holding a chicken/rooster.,woman,holding,chicken/rooster,,1,FED_20191120b_3T2,24,130
SPROD,5334523454.jpg,120,2,7,0,npu jp;domg mord,boy holding bird,boy /holding/ bird,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A boy is holding a bird in his hands.,boy,holding,bird,hands,1,FED_20191120b_3T2,25,137
SPROD,6552971469.jpg,102,2,7,0,cjpirs somgomg spmgs,choir singing songs,choir /singing/ songs,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A choir is singing.,choir,singing,,,1,FED_20191120b_3T2,27,158
SPROD,104669470.jpg,70,2,7,0,"wp,ame carryomg naslet pf riot",woman carrying basket of fruit,woman /carrying/ basket of fruit,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A woman is carrying a bowl of fruit on her head.,woman,carrying,bowl,fruit/head,1,FED_20191120b_3T2,28,165
SPROD,4986581949.jpg,81,2,7,0,"wp,am rodomg tje sinwau",woman riding the subway,woman/ riding /the subway,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A woman is sitting on the subway.,woman,sitting,subway,,1,FED_20191120b_3T2,29,172
SPROD,28144507.jpg,96,2,7,0,",am wasjomg tje womdpws",man washing the windows,man /washing /the windows,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A man is washing windows.,man,washing,windows,,1,FED_20191120b_3T2,30,179
SPROD,6596861005.jpg,17,1,2,0,woman reads map,woman reads map,woman /reads/ map,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,0,A woman is reading a map.,woman,reading,map,water,5,FED_20200130b_3T2,22,116
SPROD,6681702227.jpg,33,1,2,0,woman cuts mands hair,woman cuts man's hair,woman /cuts /man's hair,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,0,A woman is cutting a man's hair.,woman,cutting,hair,man/haircut,5,FED_20200130b_3T2,23,123
SPROD,5543900069.jpg,40,1,2,0,woman dries hair,woman dries hair,woman /dries/ hair,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,0,A woman is blowdrying her hair.,woman,blowdrying,hair,,5,FED_20200130b_3T2,24,130
SPROD,5840187633.jpg,35,1,2,0,treadmill,treadmill,treadmill,1,Noun,NA,NA,NA,A little girl is walking on a treadmill.,girl,walking,,treadmill,5,FED_20200130b_3T2,25,137
SPROD,5194023863.jpg,28,1,2,0,gil holds bigtass snail,girl holds big ass snail,girl /holds/ big ass snail,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,0,A (little) girl is holding a snail.,girl,holding,snail,,5,FED_20200130b_3T2,27,158
SPROD,7579008108.jpg,53,1,2,0,person jumps from rock,person jumps from rock,person /jumps/ from rock,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,0,A man is jumping (off a rock/cliff) into the water.,man,jumping,,cliff/water/ocean/water,5,FED_20200130b_3T2,28,165
SPROD,4705826062.jpg,49,1,2,0,man gcrosch ice cream,man ?? ice cream,man/ ?? /ice cream,Unknown,Unknown,0,NA,1,A man is eating an ice cream cone.,man,eating,ice cream cone,,5,FED_20200130b_3T2,29,172
SPROD,33256003.jpg,36,1,2,0,woman applies lipstick,woman applies lipstick,woman /applies/ lipstick,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,1,A woman is applying lipstick.,woman,applying,lipstick,,5,FED_20200130b_3T2,30,179
SPROD,7188003.jpg,51,1,4,0,SO99JG,skiing,skiing,1,Gerund,NA,0,NA,A person is skiing down a steep slope.,person,skiing,slope,,4,FED_20191204c_3T2,14,72
SPROD,55903788.jpg,2,1,4,0,HR9SY9JGMRHA9R,?? Hair,?? Hair,Unknown,Unknown,Unknown,Unknown,Unknown,A woman brushes another woman's hair.,woman,brushes,hair,woman,4,FED_20191204c_3T2,15,79
SPROD,7028846053.jpg,42,1,4,0,HJ00DPES,noodles,noodles,1,Noun,NA,NA,NA,A woman is eating noodles (from a bowl).,woman,eating,noodles,bowl/chopsticks,4,FED_20191204c_3T2,16,86
SPROD,325742196.jpg,4,1,4,0,JGORPW TIJ TPIUR,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A little girl is playing with dolls/toys.,girl,playing,toys/dolls,,4,FED_20191204c_3T2,17,93
SPROD,4696829163.jpg,54,1,4,0,FISHING,fishing,fishing,1,Gerund,NA,0,NA,A boy is holding up a fish (he caught).,boy,holding,fish,caught,4,FED_20191204c_3T2,35,202
SPROD,807129.jpg,47,1,4,0,NMAN [A;POJMG F;IRE,man playing flute,man /playing/ flute,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A man is playing the flute.,man,playing/sitting,flute,outside,4,FED_20191204c_3T2,36,209
SPROD,7380263314.jpg,1,1,4,0,FOR;DOGOMG,girl digging,girl /digging/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A girl is digging sand at the beach.,girl,digging,sand,beach/shovel,4,FED_20191204c_3T2,37,216
SPROD,5241718422.jpg,19,1,4,0,KAJ R9JMGMFREEW,man running,man /running/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A man is running on a treadmill.,man,running,,treadmill,4,FED_20191204c_3T2,38,223
SPROD,3800306463.jpg,77,2,5,0,[mu j[‘fpmj vovo.nrtd,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A (little) boy is holding two large cucumbers.,boy,holding,cucumbers,,5,FED_20200213b_3T2,10,58
SPROD,7742281954.jpg,85,2,5,0,".s, ]’suph, sddsc[]j[,r",man playing saxophone,man /playing/ saxophone,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A man is playing the saxophone.,man,playing,saxophone,outside/garden,5,FED_20200213b_3T2,11,65
SPROD,5925544950.jpg,125,2,5,0,"e[.s, hpdjkp,h [, ’s;r",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A woman is fishing.,woman,fishing,,lake/river/pond,5,FED_20200213b_3T2,12,72
SPROD,3808935147.jpg,106,2,5,0,"n[ud ]’sp, [k, utys.][‘pr",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,Two boys are jumping on a trampoline.,boys,jumping,,trampoline,5,FED_20200213b_3T2,13,79
SPROD,7119846943.jpg,75,2,5,0,"ph’t pd ‘sp,j jo’s jp[[",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A girl is hula-hooping.,girl,hula-hooping,,,5,FED_20200213b_3T2,39,216
SPROD,4858197102.jpg,103,2,5,0,".sm, voffp,j msmi",man holding baby,man/holding/ baby,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A man is holding a (newborn) baby.,man,holding,baby,,5,FED_20200213b_3T2,40,223
SPROD,6338733.jpg,84,2,5,0,"e.s, k[‘p, dpj,",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A woman is holding a stop sign.,woman,holding,stop sign,,5,FED_20200213b_3T2,41,230
SPROD,5411504795.jpg,124,2,5,0,"hpt’ d,phhp, gs,fr’p[,",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A little girl is smelling a flower.,girl,smelling,flower,,5,FED_20200213b_3T2,42,237
SPROD,36979.jpg,66,2,1,0,ghd mdn zfd plzhyinb vzfcx,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A group of people are playing poker.,group,playing,poker,,1,FED_20191120c_3T2,2,14
SPROD,4572715888.jpg,74,2,1,0,z mzn ix in z xubszy,a man is in a subway,a man /is/ in a subway,2+,Subject and Non-Gerund Verb Well Formed,1,1,1,A man is reading a book (while waiting for the train).,man,reading,book,subway/train,1,FED_20191120c_3T2,3,21
SPROD,5293561716.jpg,116,2,1,0,kic plzhying oppaino,kid playing piano,kid/ playing /piano,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A (young) boy is playing the piano.,boy,playing,piano,,1,FED_20191120c_3T2,4,28
SPROD,44419435.jpg,76,2,1,0,gidl sitting ion a sfence],girl sitting on a fence,girl /sitting/ on a fence,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A young girl is sitting on a railing.,girl,sitting,,railing,1,FED_20191120c_3T2,5,35
SPROD,6915921596.jpg,114,2,1,0,girl brushign a horse,girl brushing a horse,girl /brushing/ a horse,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A woman is grooming/brushing a horse.,woman,grooming/brushing,horse,mane/hair,1,FED_20191120c_3T2,47,260
